temp,wet_dur,dis_prop
2,0,0
2,1.989,0.157
2,3.978,0.157
2,5.796,0.157
2,7.908,0.313
2,9.921,6.426
2,13.851,14.734
2,23.919,32.953
2,48.06,62.846
6,0,0
6,3.978,1.411
6,5.894,4.232
6,7.908,17.085
6,9.921,34.483
6,13.851,38.088
6,23.919,64.734
6,48.06,71.63
10,0,0
10,3.88,2.038
10,5.845,8.307
10,7.908,33.542
10,9.872,43.417
10,13.851,59.561
10,23.821,78.213
10,48.109,79.937
14,0,0
14,3.831,8.934
14,5.894,33.072
14,7.859,37.618
14,9.872,73.354
14,13.802,91.536
14,23.87,92.32
14,48.109,92.006
18,0,0
18,3.88,19.906
18,5.845,35.266
18,7.859,70.376
18,9.971,67.085
18,13.752,75.862
18,23.919,80.878
18,48.158,90.439
